dataset,benchmark,dataset task,source
2WikiMultiHopQA,no,question answering,https://aclanthology.org/2020.coling-main.580/
ABCD,no,summarization,https://aclanthology.org/2021.naacl-main.239/
AEE Corpus,no,question answering,https://arxiv.org/abs/2410.22349
AITQA,TabCite,question answering,https://aclanthology.org/2022.naacl-industry.34/
AQuAMuSe,no,summarization,https://arxiv.org/abs/2010.12694
ARC-C,no,question answering,https://arxiv.org/pdf/1803.05457
ARCD,no,question answering,https://aclanthology.org/W19-4612/
ASDiv,no,question answering,https://aclanthology.org/2020.acl-main.92/
ASQA,"ALCE, Trust-Align, RAG-RewardBench",question answering,https://aclanthology.org/2022.emnlp-main.566/
Abolghasemi-MS MARCO,no,question answering,https://arxiv.org/abs/2410.12380
"Abolghasemi-NaturalQuestions, ",no,question answering,https://arxiv.org/abs/2410.12380
AdvBench,no,jailbreak attack,https://huggingface.co/datasets/walledai/AdvBench
AmbigBio,no,grounded text generation,https://aclanthology.org/2024.findings-acl.160/
AmbigQA-Cite,no,question answering,https://aclanthology.org/2024.emnlp-main.956/
Arc-Easy,no,question answering,https://arxiv.org/pdf/1803.05457
AttackER,no,question answering,https://doi.org/10.1007/978-981-96-0576-7_20
AttrEval-GenSearch,AttributionBench,question answering,https://aclanthology.org/2023.findings-emnlp.307/
AttrEval-Simulation,no,question answering,https://aclanthology.org/2023.findings-emnlp.307/
AttributedQA,AttributionBench,question answering,https://arxiv.org/abs/2212.08037
Attribution Corpus,no,question answering,https://arxiv.org/abs/2212.08037
BioASQ,RAG-RewardBench,question answering,https://aclanthology.org/W18-5304.pdf
BioCite,no,question answering,https://arxiv.org/abs/2404.01019
BioGen2024-PubMed,no,evidence retrieval,https://catalog.data.gov/dataset/medline-pubmed-citations-d2ed0
BioGen2024-Topics,no,question answering,https://arxiv.org/pdf/2411.18069
BioKaLMA,no,grounded text generation,https://aclanthology.org/2024.findings-acl.28/
BookSum,no,grounded text generation,https://aclanthology.org/2022.findings-emnlp.488/
Byun-CR,no,"citation recommendation, related work generation, grounded text generation",https://aclanthology.org/2024.hcinlp-1.3/
C4,no,pretraining,https://arxiv.org/abs/1910.10683
CAIL,CitaLaw,question answering,https://github.com/mly-nlp/LJP-MSJudge
CAQA,no,question answering,https://arxiv.org/abs/2401.14640
CC-News,no,grounded text generation,https://www.doi.org/10.5281/zenodo.4120316
CMU-DoG,"BEGIN, AttributionBench",grounded text generation,https://aclanthology.org/D18-1076/
CNN DailyMail,no,summarization,https://aclanthology.org/K16-1028/
CORAL,no,question answering,https://arxiv.org/abs/2410.23090
CRAG,RAG-RewardBench,question answering,https://openreview.net/forum?id=Q7lAqY41HH&referrer=%5Bthe%20profile%20of%20Wen-tau%20Yih%5D(%2Fprofile%3Fid%3D~Wen-tau_Yih1)
CWQ,no,question answering,https://aclanthology.org/N18-1059/
CalmQA,no,question answering,https://arxiv.org/abs/2406.17761
Chen-LFQA,AttributionBench,question answering,https://arxiv.org/abs/2310.12150
Clement-ArXiv,no,grounded text generation,https://arxiv.org/abs/1905.00075
CoBBLEr,no,fact verification,https://aclanthology.org/2024.findings-acl.29/
ConfQuestions,no,question answering,https://arxiv.org/abs/2412.10571
Conflicting HotPotQA-Cite,no,question answering,https://aclanthology.org/2024.emnlp-main.956/
ContractNL,LAB,evidence classification,https://aclanthology.org/2021.findings-emnlp.164/
Craig-Scientific-QA,no,question answering,https://doi.org/10.1109/BIBM62325.2024.10821725
DART,no,graph-to-text generation,https://aclanthology.org/2021.naacl-main.37/
DBpedia14,no,grounded text generation,https://dl.acm.org/doi/10.5555/2969239.2969312
DISC-LawLLM,CitaLaw,question answering,https://github.com/FudanDISC/DISC-LawLLM
DRCD,no,question answering,https://arxiv.org/abs/1806.00920
Dani-Semio2Brain,no,grounded text generation,https://arxiv.org/pdf/2407.03004
Date Understanding,no,question answering,https://openreview.net/forum?id=uyTL5Bvosj
DisentQA-DupliCite,no,question answering,https://aclanthology.org/2024.emnlp-main.956/
DisentQA-ParaCite,no,question answering,https://aclanthology.org/2024.emnlp-main.956/
Dureader,no,question answering,https://aclanthology.org/W18-2605/
DutchAttrLegalQA,no,question answering,https://aclanthology.org/2024.nllp-1.12/
ELAM,CitaLaw,question answering,https://github.com/china-ai-law-challenge/CAIL2021
ELI5,"ALCE, Trust-Align, RAG-RewardBench",question answering,https://aclanthology.org/P19-1346.pdf
ELI5-filtered,no,question answering,https://arxiv.org/abs/2203.11147
EVIGSE,no,fine-tuning,https://aclanthology.org/2023.findings-emnlp.467/
Enterprise,no,question answering,https://aclanthology.org/2024.naacl-long.346/
Eta3G,no,question answering,https://aclanthology.org/Q19-1026/
EventNarrative,no,graph-to-text generation,https://arxiv.org/abs/2111.00276
Evidence Inference,LAB,evidence classification,https://aclanthology.org/2020.bionlp-1.13/
ExpertQA,"AttributionBench, RAG-RewardBench",question answering,https://aclanthology.org/2024.naacl-long.167/
