metric name,metric abbreviation,framework,evaluation method,evaluation dimension,decription,source
Attributable to Identified Sources (paragraph-level),AIS-paragraph,,human evaluation,attribution,"Given a query q, a short answer a and a passage candidate p, we frame attribution detection as a binary classification task: (q, a, p) −> ais with ais ∈ {0, 1}. 1 corresponds to the attributed class (i.e., the answer is attributed to the passage) and 0 corresponds to the non-attributed class.",https://aclanthology.org/2023.cl-4.2/
Attributable to Identified Sources (sentence-level),AIS-sentence,,human evaluation,attribution,"Human annotation of AIS score for each sentence of the text passage, if text passage is attributable to a set of evidence, and then report the average AIS score across all sentences",https://aclanthology.org/2023.acl-long.910/
Automatic Attributable to Identified Sources (sentence-level),Auto-AIS-sentence,,inference-based,attribution,"AIS-auto (original version) approximates human AIS judgments. For each sentence s of y, and for each evidence snippet e in A, let NLI(e, s) be the model probability of e entailing s.",https://aclanthology.org/2023.acl-long.910/
Automatic Attributable to Identified Sources (paragraph),Auto-AIS-paragraph,,inference-based,attribution,The metric evaluates to which extent a generated response is attributable to the retrieved documents fed to the LLM for response generation,https://dl.acm.org/doi/10.1145/3627673.3679172
Preservation-Intent,Pres-Intent,,human evaluation,preservation,"Preservation: how much the revised text y preserves aspects of the original text x. We define the binary metric Pres-intent(x, y) to be 1.0 if the revision completely preserves the original intent, and 0.0 otherwise.",https://aclanthology.org/2023.acl-long.910/
Preservation-Levenshtein,Pres-Lev,,lexical overlap,preservation,Preservation: how much the revised text y preserves aspects of the original text x. Simple metric that generally penalizes unnecessary changes based on the character-level Levenshtein edit distance.,https://aclanthology.org/2023.acl-long.910/
Preservation-Combined,Pres-Comb,,"human evaluation, lexical overlap",preservation,"Preservation: how much the revised text y preserves aspects of the original text x. Revision should preserve the original intent while avoiding superfluous edits. To reflect this, Pres-intent and Pres-Lev are combined to one score",https://aclanthology.org/2023.acl-long.910/
F1-attribution-preservation,F1-AP,,"human evaluation, lexical overlap","attribution, preservation",Harmonic mean of AIS-sentence and Pres-comb.,https://aclanthology.org/2023.acl-long.910/
Attribution Accuracy,Attr-Acc,,inference-based,attribution,Accuracy for classification results of attribution detection models.,https://aclanthology.org/2023.emnlp-main.10/
Area under the ROC curve,ROC-AUC,,"inference-based, llm-as-a-judge, lexical overlap",attribution,ROC-AUC for classification results of attribution detection models.,https://icml.cc/2011/papers/385_icmlpaper.pdf
Factual precision in Atomicity Score,FActScore,,"human evaluation, inference-based",attribution,"FActScore involves (1) breaking a generation into a series of atomic facts—short statements that each contain one piece of information—, and (2) assigning a binary label to each atomic fact, allowing a fine-grained evaluation of factual precision. The score can either be calculated via human evaluation or estimated via an LLM/NLI model.",https://aclanthology.org/2023.emnlp-main.741
Recall-Oriented Understudy for Gisting Evaluation ,ROUGE-L,"BEGIN, CitaLaw, ALiiCE, ScholarQABench, CiteKit",lexical overlap,attribution,This category includes n-gram-based metrics that compare the lexical similarity between the response and the knowledge. ,https://aclanthology.org/W04-1013/
Recall-Oriented Understudy for Gisting Evaluation N-Gram,ROUGE-N,,lexical overlap,attribution,The metrics measure the n-gram overlap between a generated text and a gold standard.,https://aclanthology.org/W04-1013/
F1-ngram,F1-ngram,BEGIN,lexical overlap,attribution,This category includes n-gram-based metrics that compare the lexical similarity between the response and the knowledge. Measures the word-level lexical overlap between response and knowledge. ,https://aclanthology.org/2022.tacl-1.62/
BERT-Score,BERT-Score,"BEGIN, CitaLaw",semantic similarity-based,attribution,BERT-Score computes the similarity of the repsonse and the knowledge based on cosine similarity of the sentence embeddings,https://openreview.net/forum?id=SkeHuCVFDr
SciBERT-Score,SciBERT-Score,,semantic similarity-based,attribution,SciBERT-Score computes the similarity of the repsonse and the knowledge based on cosine similarity of the sentence embeddings,https://aclanthology.org/D19-1371/
BART-Score,BART-Score,BEGIN,semantic similarity-based,attribution,The BARTScore for factuality evaluates how accurately a generated text reflects reference content by using a pre-trained BART model to score the likelihood of the reference given the generation.,https://dl.acm.org/doi/10.5555/3540261.3542349
