title,abstract,year,venue,publisher,url,authors,contribution type,annotator,citation style,citation modality,citation visibility,citation term,task name,evidence level,citation frequency,multilinguality,parametric,non-parametric,prompting,pre-training,fine-tuning,task,dataset,evaluation
Evaluating and Modeling Attribution for Cross-Lingual Question Answering,"Trustworthy answer content is abundant in many high-resource languages and is instantly accessible through question answering systems — yet this content can be hard to access for those that do not speak these languages. The leap forward in cross-lingual modeling quality offered by generative language models offers much promise, yet their raw generations often fall short in factuality. To improve trustworthiness in these systems, a promising direction is to attribute the answer to a retrieved source, possibly in a content-rich language different from the query. Our work is the first to study attribution for cross-lingual question answering. First, we collect data in 5 languages to assess the attribution level of a state-of-the-art cross-lingual QA system. To our surprise, we find that a substantial portion of the answers is not attributable to any retrieved passages (up to 50% of answers exactly matching a gold reference) despite the system being able to attend directly to the retrieved text. Second, to address this poor attribution level, we experiment with a wide range of attribution detection techniques. We find that Natural Language Inference models and PaLM 2 fine-tuned on a very small amount of attribution data can accurately detect attribution. With these models, we improve the attribution level of a cross-lingual QA system. Overall, we show that current academic generative cross-lingual QA systems have substantial shortcomings in attribution and we build tooling to mitigate these issues.",2023,emnlp,ACL,https://aclanthology.org/2023.emnlp-main.10,"Benjamin Muller, John Wieting, Jonathan Clark, Tom Kwiatkowski, Sebastian Ruder, Livio Soares, Roee Aharoni, Jonathan Herzig, Xinyi Wang","resource, evaluation, approach",A,passage,text,final response,attribution,attributed question answering,paragraph,single,yes,no,post-retrieval,"few-shot, chain-of-thought",no,supervised fine-tuning,question answering,XOR-AttriQA,"AIS-paragraph, EM, Attr-Acc, ROC-AUC"
"RARR: Researching and Revising What Language Models Say, Using Language Models","Language models (LMs) now excel at many tasks such as question answering, reasoning, and dialog. However, they sometimes generate unsupported or misleading content. A user cannot easily determine whether their outputs are trustworthy or not, because most LMs do not have any built-in mechanism for attribution to external evidence. To enable attribution while still preserving all the powerful advantages of recent generation models, we propose RARR (Retrofit Attribution using Research and Revision), a system that 1) automatically finds attribution for the output of any text generation model, and 2) post-edits the output to fix unsupported content while preserving the original output as much as possible. When applied to the output of several state-of-the-art LMs on a diverse set of generation tasks, we find that RARR significantly improves attribution while otherwise preserving the original input to a much greater degree than previously explored edit models. Furthermore, the implementation of RARR requires only a handful of training examples, a large language model, and standard web search.",2023,acl,ACL,https://aclanthology.org/2023.acl-long.910,"Luyu Gao, Zhuyun Dai, Panupong Pasupat, Anthony Chen, Arun Tejasvi Chaganty, Yicheng Fan, Vincent Zhao, Ni Lao, Hongrae Lee, Da-Cheng Juan, Kelvin Guu",approach,A,citation report,text,final response,attribution,editing for attribution,paragraph,multiple,no,no,post-generation,few-shot,no,supervised fine-tuning,"question answering, summarization","NaturalQuestions, StrategyQA, QReCC, SummEval, ELI5, MMLU","AIS-sentence, Auto-AIS-sentence, Pres-Intent, Pres-Lev, Pres-Comb, F1-AP"
Evaluating Attribution in Dialogue Systems: The BEGIN Benchmark,"Knowledge-grounded dialogue systems powered by large language models often generate responses that, while fluent, are not attributable to a relevant source of information. Progress towards models that do not exhibit this issue requires evaluation metrics that can quantify its prevalence. To this end, we introduce the Benchmark for Evaluation of Grounded INteraction (Begin), comprising 12k dialogue turns generated by neural dialogue systems trained on three knowledge-grounded dialogue corpora. We collect human annotations assessing the extent to which the models’ responses can be attributed to the given background information. We then use Begin to analyze eight evaluation metrics. We find that these metrics rely on spurious correlations, do not reliably distinguish attributable abstractive responses from unattributable ones, and perform substantially worse when the knowledge source is longer. Our findings underscore the need for more sophisticated and robust evaluation metrics for knowledge-grounded dialogue. We make Begin publicly available at https://github.com/google/BEGIN-dataset.",2022,tacl,ACL,https://aclanthology.org/2022.tacl-1.62,"Nouha Dziri, Hannah Rashkin, Tal Linzen, David Reitter","resource, evaluation",A,passage,text,final response,attribution,knowledge-grounded dialogue,paragraph,single,no,no,no,no,no,supervised fine-tuning,grounded text generation,BEGIN,BEGIN
Automatic Evaluation of Attribution by Large Language Models,"A recent focus of large language model (LLM) development, as exemplified by generative search engines, is to incorporate external references to generate and support its claims. However, evaluating the attribution, i.e., verifying whether the generated statement is fully supported by the cited reference, remains an open problem. Although human evaluation is common practice, it is costly and time-consuming. In this paper, we investigate automatic evaluation of attribution given by LLMs. We begin by defining different types of attribution errors, and then explore two approaches for automatic evaluation: prompting LLMs and fine-tuning smaller LMs. The fine-tuning data is repurposed from related tasks such as question answering, fact-checking, natural language inference, and summarization. We manually curate a set of test examples covering 12 domains from a generative search engine, New Bing. Our results on this curated test set and simulated examples from existing benchmarks highlight both promising signals and challenges. We hope our problem formulation, testbeds, and findings will help lay the foundation for future studies on this important problem.",2023,findings,ACL,https://aclanthology.org/2023.findings-emnlp.307,"Xiang Yue, Boshi Wang, Ziru Chen, Kai Zhang, Yu Su, Huan Sun",evaluation,A,in-line citations,text,final response,attribution,automatic attribution evaluation,document,single,no,no,no,"zero-shot, few-shot",no,supervised fine-tuning,question answering,"AttrEval-Simulation, AttrEval-GenSearch",F1-AttrScore
Enabling Large Language Models to Generate Text with Citations,"Large language models (LLMs) have emerged as a widely-used tool for information seeking, but their generated outputs are prone to hallucination. In this work, our aim is to allow LLMs to generate text with citations, improving their factual correctness and verifiability. Existing work mainly relies on commercial search engines and human evaluation, making it challenging to reproduce and compare different modeling approaches. We propose ALCE, the first benchmark for Automatic LLMs’ Citation Evaluation. ALCE collects a diverse set of questions and retrieval corpora and requires building end-to-end systems to retrieve supporting evidence and generate answers with citations. We develop automatic metrics along three dimensions—fluency, correctness, and citation quality—and demonstrate their strong correlation with human judgements. Our experiments with state-of-the-art LLMs and novel prompting strategies show that current systems have considerable room for improvement—For example, on the ELI5 dataset, even the best models lack complete citation support 50% of the time. Our analyses further highlight promising future directions, including developing better retrievers, advancing long-context LLMs, and improving the ability to synthesize information from multiple sources.",2023,emnlp,ACL,https://aclanthology.org/2023.emnlp-main.398,"Tianyu Gao, Howard Yen, Jiatong Yu, Danqi Chen","resource, evaluation, approach",A,in-line citations,text,final response,citation,citation generation,paragraph,multiple,no,no,"post-retrieval, post-generation",zero-shot,no,no,question answering,ALCE,ALCE
"Attribute First, then Generate: Locally-attributable Grounded Text Generation","Recent efforts to address hallucinations in Large Language Models (LLMs) have focused on attributed text generation, which supplements generated texts with citations of supporting sources for post-generation fact-checking and corrections. Yet, these citations often point to entire documents or paragraphs, burdening users with extensive verification work. In this paper, we introduce a locally-attributable text generation approach, prioritizing concise attributions. Our method, named “Attribute First, then Generate“, breaks down the conventional end-to-end generation process into three intuitive steps: content selection, sentence planning, and sequential sentence generation. By initially identifying relevant source segments (“select first“) and then conditioning the generation process on them (“then generate“), we ensure these segments also act as the output’s fine-grained attributions (“select“ becomes “attribute“). Tested on Multi-document Summarization and Long-form Question-answering, our method not only yields more concise citations than the baselines but also maintains - and in some cases enhances - both generation quality and attribution accuracy. Furthermore, it significantly reduces the time required for fact verification by human assessors.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.182,"Aviv Slobodkin, Eran Hirsch, Arie Cattan, Tal Schuster, Ido Dagan",approach,A,in-line citations,text,final response,"attribution, citation",locally-attributable grounded text generation,sentence,multiple,no,no,in-context,"few-shot, chain-of-thought",no,supervised fine-tuning,"summarization, question answering","Slobodkin-MDS, Liu-LFQA","ROUGE-L, BERT-Score, Auto-AIS-sentence, No-Att, Fluency-5, Helpfulness-5"
Training Language Models to Generate Text with Citations via Fine-grained Rewards,"While recent Large Language Models (LLMs) have proven useful in answering user queries, they are prone to hallucination, and their responses often lack credibility due to missing references to reliable sources. An intuitive solution to these issues would be to include in-text citations referring to external documents as evidence. While previous works have directly prompted LLMs to generate in-text citations, their performances are far from satisfactory, especially when it comes to smaller LLMs. In this work, we propose an effective training framework using fine-grained rewards to teach LLMs to generate highly supportive and relevant citations, while ensuring the correctness of their responses. We also conduct a systematic analysis of applying these fine-grained rewards to common LLM training strategies, demonstrating its advantage over conventional practices. We conduct extensive experiments on Question Answering (QA) datasets taken from the ALCE benchmark and validate the model’s generalizability using EXPERTQA. On LLaMA-2-7B, the incorporation of fine-grained rewards achieves the best performance among the baselines, even surpassing that of GPT-3.5-turbo.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.161,"Chengyu Huang, Zeqiu Wu, Yushi Hu, Wenya Wang",approach,A,in-line citations,text,final response,"attribution, citation, quote","attributable text generation, citation generation",paragraph,multiple,no,no,post-retrieval,zero-shot,no,"supervised fine-tuning, reinforcement learning",question answering,"ALCE, ExpertQA","ALCE, Auto-AIS-sentence, FActScore"
Making Long-Context Language Models Better Multi-Hop Reasoners,"Recent advancements in long-context modeling have enhanced language models (LMs) for complex tasks across multiple NLP applications. Despite this progress, we find that these models struggle with multi-hop reasoning and exhibit decreased performance in the presence of noisy contexts. In this paper, we introduce Reasoning with Attributions, a novel approach that prompts LMs to supply attributions for each assertion during their reasoning. We validate our approach through experiments on three multi-hop datasets, employing both proprietary and open-source models, and demonstrate its efficacy and resilience. Furthermore, we explore methods to augment reasoning capabilities via fine-tuning and offer an attribution-annotated dataset and a specialized training strategy. Our fine-tuned model achieves competitive performance on multi-hop reasoning benchmarks, closely paralleling proprietary LMs such as ChatGPT and Claude-instant.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.135,"Yanyang Li, Shuo Liang, Michael Lyu, Liwei Wang","approach, resource",A,in-line citations,text,final response,"attribution, citation, quote",reasoning with attribution,document,multiple,no,no,in-context,"active-oriented, chain-of-thought, chain-of-citation, chain-of-quote",no,supervised fine-tuning,question answering,"MuSiQue-Attribute, 2WikiMultiHopQA, HotpotQA","EM, EM F1, ROUGE-L, Citation Recall NLI, Citation Precision NLI"
Citation-Enhanced Generation for LLM-based Chatbots,"Large language models (LLMs) exhibit powerful general intelligence across diverse scenarios, including their integration into chatbots. However, a vital challenge of LLM-based chatbots is that they may produce hallucinated content in responses, which significantly limits their applicability. Various efforts have been made to alleviate hallucination, such as retrieval augmented generation and reinforcement learning with human feedback, but most of them require additional training and data annotation. In this paper, we propose a novel post-hoc Citation-Enhanced Generation (CEG) approach combined with retrieval argumentation. Unlike previous studies that focus on preventing hallucinations during generation, our method addresses this issue in a post-hoc way. It incorporates a retrieval module to search for supporting documents relevant to the generated content, and employs a natural language inference-based citation generation module. Once the statements in the generated content lack of reference, our model can regenerate responses until all statements are supported by citations. Note that our method is a training-free plug-and-play plugin that is capable of various LLMs. Experiments on various hallucination-related datasets show our framework outperforms state-of-the-art methods in both hallucination detection and response regeneration on three benchmarks. Our code and datasets can be found at https://github.com/Tsinghua-dhy/CEG.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.79,"Weitao Li, Junkai Li, Weizhi Ma, Yang Liu",approach,A,in-line citations,text,final response,citation,citation-enhanced generation,paragraph,single,no,no,post-generation,"chain-of-thought, zero-shot",no,no,question answering,"WikiBio GPT-3, FELM, HaluEval, WikiRetr-GPT3, WikiRetr-GPT4","AUC-PR, Corr-Acc, Recall@k, Citation Recall NLI, Citation Precision NLI"
WebCiteS: Attributed Query-Focused Summarization on Chinese Web Search Results with Citations,"Enhancing the attribution in large language models (LLMs) is a crucial task. One feasible approach is to enable LLMs to cite external sources that support their generations. However, existing datasets and evaluation methods in this domain still exhibit notable limitations. In this work, we formulate the task of attributed query-focused summarization (AQFS) and present WebCiteS, a Chinese dataset featuring 7k human-annotated summaries with citations. WebCiteS derives from real-world user queries and web search results, offering a valuable resource for model training and evaluation. Prior works in attribution evaluation do not differentiate between groundedness errors and citation errors. They also fall short in automatically verifying sentences that draw partial support from multiple sources. We tackle these issues by developing detailed metrics and enabling the automatic evaluator to decompose the sentences into sub-claims for fine-grained verification. Our comprehensive evaluation of both open-source and proprietary models on WebCiteS highlights the challenge LLMs face in correctly citing sources, underscoring the necessity for further improvement. The dataset and code will be open-sourced to facilitate further research in this crucial field.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.806,"Haolin Deng, Chang Wang, Li Xin, Dezhang Yuan, Junlang Zhan, Tian Zhou, Jin Ma, Jun Gao, Ruifeng Xu","resource, evaluation, approach",A,in-line citations,text,final response,"citation, attribution",attributed query-focused summarization,paragraph,multiple,yes,no,post-retrieval,"few-shot, zero-shot",no,supervised fine-tuning,"question answering, summarization",WebCiteS,"Claim Precision, Claim Recall, Claim F1, Auto-AIS-sentence, ACS, Citation Precision Retrieval, Citation Recall Retrieval, Citation F1 Retrieval"
